Tarih,Teneke_No,Bolge,pH,Not
2026-05-14,1,Genel,8.0,Çamur testi (yüksek alkali)
2026-05-14,2,Genel,8.0,Çamur testi
2026-05-14,3,Genel,7.7,Çamur testi
2026-05-14,4,Genel,7.6,Çamur testi
2026-05-14,5,Genel,7.9,Çamur testi
2026-05-14,6,Genel,8.0,Çamur testi
2026-05-14,7,Genel,7.7,Çamur testi
2026-05-14,8,Genel,7.9,Çamur testi
2026-05-14,9,Genel,8.1,Çamur testi
2026-05-14,10,Genel,8.2,Çamur testi
2026-05-19,1,Kök civarı,6.0,4-in-1 cihazı
2026-05-19,1,Dip,6.0,4-in-1 cihazı
2026-05-19,2,Kök civarı,7.5,4-in-1 cihazı
2026-05-19,2,Dip,7.0,4-in-1 cihazı
2026-05-19,3,Kök civarı,7.5,4-in-1 cihazı
2026-05-19,3,Dip,5.0,4-in-1 cihazı (aşırı asidik)
2026-05-19,4,Kök civarı,7.5,4-in-1 cihazı
2026-05-19,4,Dip,7.0,4-in-1 cihazı
2026-05-19,5,Kök civarı,7.0,4-in-1 cihazı
2026-05-19,5,Dip,6.0,4-in-1 cihazı
2026-05-19,6,Kök civarı,6.5,4-in-1 cihazı
2026-05-19,6,Dip,7.5,4-in-1 cihazı
2026-05-19,7,Kök civarı,6.0,4-in-1 cihazı
2026-05-19,7,Dip,7.0,4-in-1 cihazı
2026-05-19,8,Kök civarı,7.0,4-in-1 cihazı
2026-05-19,8,Dip,7.0,4-in-1 cihazı
2026-05-19,9,Kök civarı,7.0,4-in-1 cihazı
2026-05-19,9,Dip,5.5,4-in-1 cihazı (aşırı asidik)
2026-05-19,10,Genel,6.0,4-in-1 cihazı
